,Network_zones,Network_Lines,Start_Zone,End_Zone,Line_Max_Flow_MW,transmission_path_name,distance_mile,Line_Loss_Percentage,Line_Max_Reinforcement_MW,Line_Reinforcement_Cost_per_MWyr,DerateCapRes_1,CapRes_1,CapRes_Excl_1,Line_Max_Flow_Possible_MW,WACC
Boston,z1,1,1,8,2629,Boston_to_MassCentral,35,0.0094,2629,12060,0.95,0,0,7000,0.062
ConnCentral,z2,2,2,4,3650,ConnCentral_to_ConnSW,25,0.005,3650,12060,0.95,0,0,7000,0.062
ConnNorwalk,z3,3,3,4,1537,ConnNorwalk_to_ConnSW,15,0.005,1537,12060,0.95,0,0,5000,0.062
ConnSW,z4,4,4,2,1100,ConnSW_to_ConnCentral,25,0.005,1100,12060,0.95,0,0,7000,0.062
MaineBHE,z5,5,5,6,1975,MaineBHE_to_MaineCentral,80,0.01,1975,12060,0.95,0,0,7000,0.062
MaineCentral,z6,6,6,5,1975,MaineCentral_to_MaineBHE,80,0.01,1975,12060,0.95,0,0,5000,0.062
MaineSouth,z7,7,7,6,1925,MaineSouth_to_MaineCentral,70,0.01,1925,12060,0.95,0,0,5000,0.062
MassCentral,z8,8,8,1,2859,MassCentral_to_Boston,35,0.0094,2859,12060,0.95,0,0,5000,0.062
MassSE,z9,9,9,1,997,MassSE_to_Boston,40,0.001536098,997,12060,0.95,0,0,5000,0.062
MassWest,z10,10,10,2,1400,MassWest_to_ConnCentral,60,0.01,1400,12060,0.95,0,0,5000,0.062
NewHampshire,z11,11,11,1,1391,NewHampshire_to_Boston,50,0.013636364,1391,12060,0.95,0,0,7000,0.062
RhodeIsland,z12,12,12,1,453,RhodeIsland_to_Boston,50,0.018213737,453,12060,0.95,0,0,7000,0.062
Vermont,z13,13,13,10,467,Vermont_to_MassWest,40,0.027620841,467,12060,0.95,0,0,7000,0.062