Resource,WACC,Capital_Recovery_Period,Lifetime,Min_Retired_Cap_MW,Min_Retired_Energy_Cap_MW,Min_Retired_Charge_Cap_MW
SVU000111,0.05,20,20,0,0,0
SVU000116,0.05,20,20,0,0,0
SVU000121,0.05,20,20,0,0,0
SVU000281,0.05,20,20,0,0,0
SVU000286,0.05,20,20,0,0,0
SVU000291,0.05,20,20,0,0,0
SVU000751,0.05,20,20,0,0,0
SVU000861,0.05,20,20,0,0,0
SVU000296,0.05,20,20,0,0,0
SVU000301,0.05,20,20,0,0,0
SVU000336,0.05,20,20,0,0,0
SVU000341,0.05,20,20,0,0,0
SVU000351,0.05,20,20,0,0,0
SVU000481,0.05,20,20,0,0,0
GNRC-CT-61-2020-Battery Storage-1,0.05,20,20,0,0,0
GNRC-CT-67-2020-Battery Storage-1,0.05,20,20,0,0,0
GNRC-CT-68-2020-Battery Storage-1,0.05,20,20,0,0,0
GNRC-MA-63-2020-Battery Storage-1,0.05,20,20,0,0,0
GNRC-MA-71-2020-Battery Storage-1,0.05,20,20,0,0,0
GNRC-MA-72-2020-Battery Storage-1,0.05,20,20,0,0,0
GNRC-MA-73-2020-Battery Storage-1,0.05,20,20,0,0,0
GNRC-ME-70-2020-Battery Storage-1,0.05,20,20,0,0,0
GNRC-NH-74-2020-Battery Storage-1,0.05,20,20,0,0,0
GNRC-RI-62-2020-Battery Storage-1,0.05,20,20,0,0,0
GNRC-VT-75-2020-Battery Storage-1,0.05,20,20,0,0,0
AID_DM_4153,0.05,20,20,0,0,0
AID_DM_4224,0.05,20,20,0,0,0
AID_DM_4281,0.05,20,20,0,0,0
AID_DM_4295,0.05,20,20,0,0,0
AID_DM_4355,0.05,20,20,0,0,0
AID_DM_4358,0.05,20,20,0,0,0
AID_DM_4548,0.05,20,20,0,0,0
AID_DM_4383,0.05,20,20,0,0,0
AID_DM_4473,0.05,20,20,0,0,0
AID_DM_4518,0.05,20,20,0,0,0
AID_DM_4521,0.05,20,20,0,0,0
AID_DM_4530,0.05,20,20,0,0,0
AID_DM_4532,0.05,20,20,0,0,0
AID101237,0.05,20,20,0,0,0
AID101231,0.05,20,20,0,0,0
AID12448,0.05,20,20,0,0,0
AID15604,0.05,20,20,0,0,0
AID15844,0.05,20,20,0,0,0
AID2306,0.05,20,20,0,0,0
AID2307,0.05,20,20,0,0,0
AID2308,0.05,20,20,0,0,0
AID2305,0.05,20,20,0,0,0
AID18,0.05,20,20,0,0,0
AID2207,0.05,20,20,0,0,0
AID2498,0.05,20,20,0,0,0
AID2428,0.05,20,20,0,0,0
AID2626,0.05,20,20,0,0,0
AID2654,0.05,20,20,0,0,0
AID2507,0.05,20,20,0,0,0
AID3190,0.05,20,20,0,0,0
AID3486,0.05,20,20,0,0,0
AID2879,0.05,20,20,0,0,0
AID4276,0.05,20,20,0,0,0
AID4436,0.05,20,20,0,0,0
AID4437,0.05,20,20,0,0,0
AID4438,0.05,20,20,0,0,0
AID4724,0.05,20,20,0,0,0
AID4725,0.05,20,20,0,0,0
AID4726,0.05,20,20,0,0,0
AID4714,0.05,20,20,0,0,0
AID4774,0.05,20,20,0,0,0
AID4855,0.05,20,20,0,0,0
AID4857,0.05,20,20,0,0,0
AID4858,0.05,20,20,0,0,0
AID4875,0.05,20,20,0,0,0
AID102657,0.05,20,20,0,0,0
AID103304,0.05,20,20,0,0,0
AID4988,0.05,20,20,0,0,0
AID4989,0.05,20,20,0,0,0
AID5042,0.05,20,20,0,0,0
AID5062,0.05,20,20,0,0,0
AID5193,0.05,20,20,0,0,0
AID5194,0.05,20,20,0,0,0
AID5707,0.05,20,20,0,0,0
AID5413,0.05,20,20,0,0,0
AID5853,0.05,20,20,0,0,0
AID6696,0.05,20,20,0,0,0
AID6349,0.05,20,20,0,0,0
AID6850,0.05,20,20,0,0,0
AID6856,0.05,20,20,0,0,0
AID6849,0.05,20,20,0,0,0
AID6855,0.05,20,20,0,0,0
AID6843,0.05,20,20,0,0,0
AID6858,0.05,20,20,0,0,0
AID6859,0.05,20,20,0,0,0
AID6864,0.05,20,20,0,0,0
AID6968,0.05,20,20,0,0,0
AID6973,0.05,20,20,0,0,0
AID6975,0.05,20,20,0,0,0
AID6976,0.05,20,20,0,0,0
AID6964,0.05,20,20,0,0,0
GNRC-RI-62-2028-Gas CC-1,0.05,20,20,0,0,0
SVU000114,0.05,20,20,0,0,0
SVU000119,0.05,20,20,0,0,0
SVU000124,0.05,20,20,0,0,0
SVU000284,0.05,20,20,0,0,0
SVU000289,0.05,20,20,0,0,0
SVU000294,0.05,20,20,0,0,0
SVU000299,0.05,20,20,0,0,0
SVU000304,0.05,20,20,0,0,0
SVU000339,0.05,20,20,0,0,0
SVU000344,0.05,20,20,0,0,0
SVU000354,0.05,20,20,0,0,0
SVU000484,0.05,20,20,0,0,0
SVU000754,0.05,20,20,0,0,0
SVU000864,0.05,20,20,0,0,0
AID6862,0.05,20,20,0,0,0
AID6965,0.05,20,20,0,0,0
AID6846,0.05,20,20,0,0,0
AID6893,0.05,20,20,0,0,0
AID3907,0.05,20,20,0,0,0
AID6994,0.05,20,20,0,0,0
AID6851,0.05,20,20,0,0,0
AID18397,0.05,20,20,0,0,0
AID3135,0.05,20,20,0,0,0
AID2535,0.05,20,20,0,0,0
AID6847,0.05,20,20,0,0,0
AID2621,0.05,20,20,0,0,0
AID18756,0.05,20,20,0,0,0
AID3641,0.05,20,20,0,0,0
AID2537,0.05,20,20,0,0,0
AID2777,0.05,20,20,0,0,0
AID2769,0.05,20,20,0,0,0
AID2770,0.05,20,20,0,0,0
AID6852,0.05,20,20,0,0,0
AID2773,0.05,20,20,0,0,0
AID3522,0.05,20,20,0,0,0
AID6867,0.05,20,20,0,0,0
AID6868,0.05,20,20,0,0,0
AID6969,0.05,20,20,0,0,0
AID3523,0.05,20,20,0,0,0
AID3033,0.05,20,20,0,0,0
AID3249,0.05,20,20,0,0,0
AID2782,0.05,20,20,0,0,0
AID2329,0.05,20,20,0,0,0
AID6970,0.05,20,20,0,0,0
AID6971,0.05,20,20,0,0,0
AID2687,0.05,20,20,0,0,0
AID100037,0.05,20,20,0,0,0
AID2683,0.05,20,20,0,0,0
AID6857,0.05,20,20,0,0,0
AID2768,0.05,20,20,0,0,0
AID104996,0.05,20,20,0,0,0
AID6854,0.05,20,20,0,0,0
AID6848,0.05,20,20,0,0,0
AID100126,0.05,20,20,0,0,0
AID2685,0.05,20,20,0,0,0
AID10,0.05,20,20,0,0,0
AID5367,0.05,20,20,0,0,0
AID52,0.05,20,20,0,0,0
AID6770,0.05,20,20,0,0,0
AID5319,0.05,20,20,0,0,0
AID2536,0.05,20,20,0,0,0
AID2686,0.05,20,20,0,0,0
AID5508,0.05,20,20,0,0,0
AID104581,0.05,20,20,0,0,0
AID2618,0.05,20,20,0,0,0
GNRC-CT-68-2020-Solar Utility-1-PTC,0.05,20,20,0,0,0
GNRC-MA-63-2020-Solar Utility-1-PTC,0.05,20,20,0,0,0
GNRC-MA-71-2020-Solar Utility-1-PTC,0.05,20,20,0,0,0
GNRC-MA-72-2020-Solar Utility-1-PTC,0.05,20,20,0,0,0
GNRC-ME-69-2020-Solar Utility-1,0.05,20,20,0,0,0
GNRC-ME-70-2020-Solar Utility-1,0.05,20,20,0,0,0
GNRC-NH-74-2020-Solar Utility-1,0.05,20,20,0,0,0
GNRC-RI-62-2020-Solar Utility-1,0.05,20,20,0,0,0
GNRC-VT-75-2020-Solar Utility-1,0.05,20,20,0,0,0
GNRC-CT-61-2020-Solar Utility-1,0.05,20,20,0,0,0
GNRC-CT-67-2020-Solar Utility-1,0.05,20,20,0,0,0
GNRC-MA-73-2020-Solar Utility-1,0.05,20,20,0,0,0
GNRC-VT-75-2020-Solar Utility-1-PTC,0.05,20,20,0,0,0
GNRC-CT-68-2020-Solar Utility-1,0.05,20,20,0,0,0
GNRC-MA-63-2020-Solar Utility-1,0.05,20,20,0,0,0
GNRC-MA-71-2020-Solar Utility-1,0.05,20,20,0,0,0
GNRC-MA-72-2020-Solar Utility-1,0.05,20,20,0,0,0
GNRC-NH-74-2020-Solar Utility-1-PTC,0.05,20,20,0,0,0
GNRC-RI-62-2020-Solar Utility-1-PTC,0.05,20,20,0,0,0
GNRC-CT-67-2020-Solar Utility-1-PTC,0.05,20,20,0,0,0
GNRC-CT-61-2020-Solar Utility-1-PTC,0.05,20,20,0,0,0
GNRC-MA-73-2020-Solar Utility-1-PTC,0.05,20,20,0,0,0
GNRC-ME-70-2020-Solar Utility-1-PTC,0.05,20,20,0,0,0
GNRC-ME-69-2020-Solar Utility-1-PTC,0.05,20,20,0,0,0
SVU000352,0.05,20,20,0,0,0
SVU000282,0.05,20,20,0,0,0
SVU000287,0.05,20,20,0,0,0
SVU000122,0.05,20,20,0,0,0
SVU000117,0.05,20,20,0,0,0
SVU000112,0.05,20,20,0,0,0
SVU000292,0.05,20,20,0,0,0
SVU000297,0.05,20,20,0,0,0
SVU000302,0.05,20,20,0,0,0
SVU000337,0.05,20,20,0,0,0
SVU000342,0.05,20,20,0,0,0
SVU000482,0.05,20,20,0,0,0
AID_DM_1144,0.05,20,20,0,0,0
AID_DM_1122,0.05,20,20,0,0,0
AID_DM_1053,0.05,20,20,0,0,0
AID_DM_1193,0.05,20,20,0,0,0
AID_DM_1194,0.05,20,20,0,0,0
AID_DM_1216,0.05,20,20,0,0,0
AID_DM_1079,0.05,20,20,0,0,0
AID_DM_1285,0.05,20,20,0,0,0
AID_DM_1288,0.05,20,20,0,0,0
AID_DM_1377,0.05,20,20,0,0,0
AID_DM_1341,0.05,20,20,0,0,0
AID_DM_1312,0.05,20,20,0,0,0
AID_DM_1412,0.05,20,20,0,0,0
AID_DM_1393,0.05,20,20,0,0,0
AID_DM_1423,0.05,20,20,0,0,0
AID_DM_1477,0.05,20,20,0,0,0
AID_DM_1500,0.05,20,20,0,0,0
AID_DM_1746,0.05,20,20,0,0,0
AID_DM_1771,0.05,20,20,0,0,0
AID_DM_1709,0.05,20,20,0,0,0
AID_DM_1732,0.05,20,20,0,0,0
AID_DM_1789,0.05,20,20,0,0,0
AID_DM_1791,0.05,20,20,0,0,0
AID_DM_1798,0.05,20,20,0,0,0
AID_DM_1844,0.05,20,20,0,0,0
AID_DM_164,0.05,20,20,0,0,0
AID_DM_1917,0.05,20,20,0,0,0
AID_DM_1983,0.05,20,20,0,0,0
AID_DM_191,0.05,20,20,0,0,0
AID_DM_2050,0.05,20,20,0,0,0
AID_DM_213,0.05,20,20,0,0,0
AID_DM_2137,0.05,20,20,0,0,0
AID_DM_2186,0.05,20,20,0,0,0
AID_DM_2163,0.05,20,20,0,0,0
AID_DM_2199,0.05,20,20,0,0,0
AID_DM_2246,0.05,20,20,0,0,0
AID_DM_2234,0.05,20,20,0,0,0
AID_DM_2214,0.05,20,20,0,0,0
AID_DM_2320,0.05,20,20,0,0,0
AID_DM_2287,0.05,20,20,0,0,0
AID_DM_2357,0.05,20,20,0,0,0
AID_DM_242,0.05,20,20,0,0,0
AID_DM_2444,0.05,20,20,0,0,0
AID_DM_2328,0.05,20,20,0,0,0
AID_DM_2406,0.05,20,20,0,0,0
AID_DM_2460,0.05,20,20,0,0,0
AID_DM_2471,0.05,20,20,0,0,0
AID_DM_2487,0.05,20,20,0,0,0
AID_DM_2490,0.05,20,20,0,0,0
AID_DM_278,0.05,20,20,0,0,0
AID_DM_28,0.05,20,20,0,0,0
AID_DM_339,0.05,20,20,0,0,0
AID_DM_383,0.05,20,20,0,0,0
AID_DM_4,0.05,20,20,0,0,0
AID_DM_461,0.05,20,20,0,0,0
AID_DM_507,0.05,20,20,0,0,0
AID_DM_608,0.05,20,20,0,0,0
AID_DM_50,0.05,20,20,0,0,0
AID_DM_552,0.05,20,20,0,0,0
AID_DM_653,0.05,20,20,0,0,0
AID_DM_654,0.05,20,20,0,0,0
AID_DM_669,0.05,20,20,0,0,0
AID_DM_667,0.05,20,20,0,0,0
AID_DM_668,0.05,20,20,0,0,0
AID_DM_72,0.05,20,20,0,0,0
AID_DM_775,0.05,20,20,0,0,0
AID_DM_925,0.05,20,20,0,0,0
AID_DM_712,0.05,20,20,0,0,0
AID_DM_75,0.05,20,20,0,0,0
AID_DM_935,0.05,20,20,0,0,0
AID_DM_958,0.05,20,20,0,0,0
AID_DM_963,0.05,20,20,0,0,0
AID_DM_999,0.05,20,20,0,0,0
SVU000862,0.05,20,20,0,0,0
SVU000752,0.05,20,20,0,0,0
AID107200,0.05,20,20,0,0,0
AID107192,0.05,20,20,0,0,0
AID107201,0.05,20,20,0,0,0
AID107206,0.05,20,20,0,0,0
AID107205,0.05,20,20,0,0,0
GNRC-CT-61-2020-Wind Offshore-1,0.05,20,20,0,0,0
GNRC-MA-63-2020-Wind Offshore-1,0.05,20,20,0,0,0
GNRC-MA-71-2020-Wind Offshore-1,0.05,20,20,0,0,0
GNRC-ME-70-2020-Wind Offshore-1,0.05,20,20,0,0,0
GNRC-NH-74-2020-Wind Offshore-1,0.05,20,20,0,0,0
GNRC-RI-62-2020-Wind Offshore-1,0.05,20,20,0,0,0
GNRC-CT-68-2020-Wind Onshore-1,0.05,20,20,0,0,0
GNRC-MA-73-2020-Wind Onshore-1,0.05,20,20,0,0,0
GNRC-ME-69-2020-Wind Onshore-1,0.05,20,20,0,0,0
GNRC-ME-70-2020-Wind Onshore-1,0.05,20,20,0,0,0
GNRC-NH-74-2020-Wind Onshore-1,0.05,20,20,0,0,0
GNRC-NH-74-2020-Wind Onshore-1-PTC,0.05,20,20,0,0,0
GNRC-RI-62-2020-Wind Onshore-1-PTC,0.05,20,20,0,0,0
GNRC-VT-75-2020-Wind Onshore-1-PTC,0.05,20,20,0,0,0
GNRC-RI-62-2020-Wind Onshore-1,0.05,20,20,0,0,0
GNRC-VT-75-2020-Wind Onshore-1,0.05,20,20,0,0,0
GNRC-CT-68-2020-Wind Onshore-1-PTC,0.05,20,20,0,0,0
GNRC-MA-73-2020-Wind Onshore-1-PTC,0.05,20,20,0,0,0
GNRC-ME-69-2020-Wind Onshore-1-PTC,0.05,20,20,0,0,0
GNRC-ME-70-2020-Wind Onshore-1-PTC,0.05,20,20,0,0,0
SVU000753,0.05,20,20,0,0,0
SVU000863,0.05,20,20,0,0,0
SVU000483,0.05,20,20,0,0,0
SVU000353,0.05,20,20,0,0,0
SVU000343,0.05,20,20,0,0,0
SVU000338,0.05,20,20,0,0,0
SVU000303,0.05,20,20,0,0,0
SVU000283,0.05,20,20,0,0,0
AID104841,0.05,20,20,0,0,0
AID106047,0.05,20,20,0,0,0
AID_DM_2511,0.05,20,20,0,0,0
AID_DM_2513,0.05,20,20,0,0,0
AID_DM_2514,0.05,20,20,0,0,0
AID_DM_2586,0.05,20,20,0,0,0
AID_DM_2728,0.05,20,20,0,0,0
AID_DM_2591,0.05,20,20,0,0,0
AID_DM_2665,0.05,20,20,0,0,0
AID_DM_2726,0.05,20,20,0,0,0
AID_DM_2756,0.05,20,20,0,0,0
AID_DM_2910,0.05,20,20,0,0,0
AID_DM_2950,0.05,20,20,0,0,0
AID_DM_2959,0.05,20,20,0,0,0
AID_DM_2820,0.05,20,20,0,0,0
AID_DM_3064,0.05,20,20,0,0,0
AID_DM_3102,0.05,20,20,0,0,0
AID_DM_3187,0.05,20,20,0,0,0
AID_DM_3230,0.05,20,20,0,0,0
AID_DM_3244,0.05,20,20,0,0,0
AID_DM_3176,0.05,20,20,0,0,0
AID_DM_3406,0.05,20,20,0,0,0
AID_DM_3500,0.05,20,20,0,0,0
AID_DM_3512,0.05,20,20,0,0,0
AID_DM_3673,0.05,20,20,0,0,0
AID_DM_3759,0.05,20,20,0,0,0
AID_DM_3732,0.05,20,20,0,0,0
AID_DM_3806,0.05,20,20,0,0,0
AID_DM_3884,0.05,20,20,0,0,0
AID_DM_3855,0.05,20,20,0,0,0
AID_DM_3913,0.05,20,20,0,0,0
AID_DM_3914,0.05,20,20,0,0,0
AID_DM_4003,0.05,20,20,0,0,0
AID_DM_3998,0.05,20,20,0,0,0
AID_DM_4051,0.05,20,20,0,0,0
AID_DM_4065,0.05,20,20,0,0,0
AID_DM_4058,0.05,20,20,0,0,0
AID_DM_4097,0.05,20,20,0,0,0
AID104236,0.05,20,20,0,0,0
AID104294,0.05,20,20,0,0,0
AID101718,0.05,20,20,0,0,0
AID104857,0.05,20,20,0,0,0
AID106710,0.05,20,20,0,0,0
